Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,115.407313460354,120.119871355816,125.027285916167,126.5268840233,133.730545350901,135.9693960116,139.17308042934,148.72109212472,163.593491971772,174.596174342916,171.32003875971,177.582132767062,200.57140717141,240.005170229071,299.546505035841,355.646111351007,386.530891868812,411.142474849753,523.388787551393,670.010081470387,754.664820731724,829.934233885681,772.407257816131,755.520424863143,774.702572759705,784.90960706375,992.496342414037,1115.21158506719,1098.75584232312,950.762210032064,923.881278321591,1000.3265409014,890.563681123739,1027.5673529387,680.637143729394,626.956040248719,679.765193866363,668.972081971818,637.360860441375,675.923864855214,583.094838239344,589.203919470222,648.399605385763,791.106475390237,892.898777660583,915.091287679653,965.368688278105,1070.95467461962,1191.70955436733,1164.71725437091,1147.2423467852,1258.92465066853,1222.19214220436,1331.20002144388,1407.40341322234,1250.77745553629,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,74.5962911297981,80.5206961506474,79.968068727012,81.5878291698555,87.8588065622271,91.3222074332952,93.8454206170209,95.3244020285758,109.253011971358,104.923812111886,103.409796626389,108.030590611303,121.175167354816,139.973914284528,142.410558265115,187.698997393673,218.841174420309,240.606174405493,282.826656933036,316.531254919905,350.490281615503,296.891764564844,310.285094927951,264.991085945884,249.301396562053,329.162646318737,416.995508088169,436.539738359249,450.186953959709,429.790362270361,490.399539323896,457.455298337471,457.058307943391,403.293114877117,261.602137214151,334.365476698878,294.920431422517,268.086219493834,270.430745484328,273.581357915598,245.434384929296,245.563272645566,256.850608771017,290.509658252235,318.483794625707,332.946640076818,353.894451706416,404.113181854386,463.82761863065,454.369316916856,446.800204552837,488.357342192885,472.818218057294,317.167370468595,351.994226017866,306.778752292853,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,104.437202886472,109.091535742234,114.540302046453,116.732580058571,120.773372482509,125.924569919819,128.290155678065,130.907045138493,129.679773083129,132.119033991573,128.74573250351,134.643224311998,153.401907377697,165.577987839009,163.11236141249,211.453198742307,207.531855695772,219.838079696785,256.877351781015,227.146512887126,228.905235408528,190.185297418274,176.920471847513,172.340854494673,185.486864274238,202.855038142236,203.622439910428,215.079996977458,265.435478774305,248.503807990437,291.809187353515,305.165508273422,296.345844508752,223.171278803781,174.194572344072,206.51178994685,221.947176884369,206.119566016383,224.840097600603,190.81541057709,166.008015485376,197.302275108616,220.795351920543,292.581582779074,454.655283384692,660.181556791972,712.046809818059,801.401600354542,929.279644921587,803.914352345424,895.877995851542,988.44315979422,972.679345110246,985.095322000684,1024.66835402191,775.695090525313,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,400.319142962533,358.602381472739,326.139582755069,330.08342090963,309.280536200771,320.048720872011,441.011984079419,517.490427274927,530.450149641231,493.130791144618,602.274821239039,577.289124481153,604.633347204165,581.586702307789,398.366367710011,483.546292256521,467.556937408274,418.734780509849,414.07602381671,416.888371902037,372.189002262078,391.957280988008,428.789838993073,538.697657966253,609.640698048682,614.861327262045,640.742983808889,712.120009845376,777.677774365267,754.992824376438,739.897790576235,790.568095579413,750.314608600501,796.764538376469,810.075760030612,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",ZAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.096297540129,217.747719554322,272.320289740699,143.136159133099,133.867937081602,132.919307423464,136.69854699289,136.166396266669,100.693243188015,397.264871002388,150.421380493289,171.234012142147,169.908591287224,189.588713460121,213.310458975988,246.802813625143,273.486479705116,310.731024398184,286.048180345085,311.247895988429,350.270654249723,390.706603504699,413.695798374815,437.814931178272,456.052740548312,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,129.966783679841,145.846824954496,155.975575245366,157.075345846612,164.826375991993,171.273173413048,185.333342044831,193.945650788192,199.531014391942,204.484584622702,205.94918684025,234.072514257534,289.345322462705,370.187235481388,387.689508672708,492.867978547128,470.579988691968,463.453620745834,516.991171975125,685.055004975065,946.777049936811,1074.44324453598,1130.75181418233,1065.90696952785,1083.07890427548,1037.06218200909,863.1240065744,1043.43462543574,977.918331495359,1028.27286229067,1172.75707168059,1112.12836391554,1166.33446318445,743.410575014838,667.694141834209,777.57753737649,908.721632229993,808.28521243736,660.167327734451,776.36329451757,1035.58446246805,877.626393975825,927.269588574872,1049.31759518488,1362.19883289141,1737.61154643105,2144.83494288074,2259.26941316352,3094.10971959379,2428.260232581,2953.18500787675,3453.22122885647,3191.16429881094,3205.4577827894,3147.07152408764,1851.19991555492,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,157.19336512971,171.635969582755,172.512754182854,195.649045112863,227.44129499103,217.968748312756,232.747798527602,235.86725972182,267.245441604147,271.676434901581,277.662471239618,288.67451041003,321.767308081827,416.584073912433,486.712660660879,589.404536675217,674.067416320034,865.645681114877,1043.72359523882,1155.52114538306,1231.08792762867,977.224674025194,840.565944176432,728.762033448899,700.334293696184,686.909625955538,868.237923032679,922.090168054227,904.565533652951,830.792807932955,887.385446051537,832.684421401363,854.836423381727,818.222830272709,595.792541235756,763.668924747474,817.336196667141,766.333932785959,801.859564632949,766.933622706909,648.810764066209,663.641345873122,718.45311302737,875.086095068783,929.893383975566,942.21638493014,962.918442738785,1078.54150198701,1257.6755819286,1233.30485612418,1236.08519806872,1231.86783405173,1281.38286516731,1447.22282098015,1545.94224925162,1398.69458900615,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,..,..,35.3677268092714,41.5345228873326,48.0181587276003,240.31865155806,250.880313645769,256.040811247214,233.855392652903,230.214011265605,228.01749221027,227.952037473625,238.005711911373,309.464696564524,377.26268879136,437.775534706334,453.641718658371,471.915481029568,..,..,229.563612673105,157.69025923949,176.261326988269,162.674303154989,170.527345577854,197.573733566818,231.364393182365,271.915429307677,283.605265326123,241.526154215915,297.112876854198,284.096900400058,333.366786252115,325.155281448959,232.704755143562,316.402505859084,501.166418959303,921.852152557076,746.857169055519,1209.9376945195,1970.25122893884,2661.42147919706,3182.76787373008,4234.60208580725,7276.0756558754,13129.5981770095,14162.0548880632,16186.17320583,23347.6608504426,14451.5242165903,17441.0925450303,22944.9262899318,23278.2300613417,21497.894425719,18918.2768313328,11120.8579902839,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,150.952061464067,148.492789556595,168.90409794058,182.679605068748,216.554170767005,210.540257516117,223.396896564971,200.871844205962,199.813195113431,205.846035687116,192.50764323803,221.526812689201,272.832832575321,262.074529800649,281.375017348319,299.111451823154,306.665143919595,404.196309045471,451.426693297243,544.462431141676,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,202.943464189159,207.700844585156,223.942252100377,205.003399388995,232.510329130439,233.949566505056,242.173582041144,242.913612155868,247.16119126198,253.34796072532,270.440330887059,203.341639558486,165.128126726559,125.128885469833,133.898602421809,144.69293499473,141.053555455594,124.677575181672,119.299988763872,124.050950453133,120.353115249751,111.531169295354,119.058658783821,135.976361909988,161.876953908295,194.077993674435,243.628845484383,325.794900659893,380.264841033255,341.85895616943,355.588991513187,469.792303889824,503.902606586893,573.565960346077,619.143563112135,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Gabon,GAB,283.397626089531,332.500103896121,358.560975155028,299.223747742158,411.765440302784,425.294238603279,453.127535131284,490.302386258729,520.374647069455,550.280223362432,548.707083623772,634.311960199288,702.149723343564,1157.14340784191,2425.33556355108,3320.80936005738,4533.78705840413,4138.78464520097,3439.41604871616,4258.69814988249,5869.23115323864,5166.27245964906,4717.90785683723,4309.02474955222,4407.25708367862,4023.55254950685,3990.01475146989,3742.59678229206,4253.59758789809,4517.80121195632,6250.64321724727,5523.03492038688,5566.79472637461,4245.51424531316,3958.73828223364,4564.26938249995,5107.31688086843,4656.96790891356,3821.80855384837,3878.03185281526,4115.03678362345,3981.85878620242,4119.15459556026,4929.32263663698,5755.95950423203,6865.32349733016,7206.96840817941,8632.75695116356,10523.2702492172,8003.79074340784,9312.04946268888,11530.1472010731,10642.4322523013,10658.7727292505,10772.0617537637,8311.47651219177,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Gambia, The",GMB,..,..,..,..,..,..,108.315294890097,112.156263734832,96.7327566997105,103.645531664899,116.921136616835,121.098341293725,124.671880852013,153.488690492818,189.50595329472,221.049997359076,209.149116591679,250.250974224206,302.621204665312,353.947898498809,398.895229735014,349.791970720697,333.308900558493,317.048501360695,252.944745064876,308.328532057592,242.168919546205,274.365322477113,316.315714456624,322.443377708495,345.854678362889,727.036958130153,729.054538582067,748.830252282885,720.11600371576,737.508733311847,774.052674308571,713.206183369744,725.008230908813,682.965714451699,637.1055214626,542.504283101316,442.186688046316,360.677324396328,414.98105275821,433.291583107888,440.313938442306,519.95470925231,608.646438831853,549.539506668519,562.568166142471,516.984254988416,504.989013819816,484.112864967249,441.293817014382,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,182.979246224725,189.713214561876,195.120016077062,210.968978498357,230.431291917139,266.318714877505,269.459235572619,216.841479579139,202.761861045246,233.651269791372,257.652031459018,273.822796409195,232.539862332294,263.685963969709,301.36667320933,285.829466570477,275.877922947673,312.999343901447,353.709180539066,381.036448633698,411.518030874168,379.797675288649,351.319205747966,341.08707325448,358.396586107534,354.219711284642,437.088948105851,376.46042288959,375.225019011648,368.998197990902,402.588881651019,438.520372600581,414.561639703092,375.065333637944,333.217824990775,385.725260199644,403.919754828621,392.251816424239,416.326248548834,419.885550884737,264.702576168061,275.47237205944,311.616825027768,375.880704460924,426.159234240606,501.72407455066,929.726628584054,1099.02231257957,1234.07990011094,1095.50323245528,1323.09914056856,1587.19087274761,1641.82592182439,1827.10136779993,1441.63645311166,1381.41247833098,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,368.063825404682,379.816935376126,429.736794302637,421.945806025067,441.925743951787,473.510049149612,486.510678707518,458.253649556449,448.917767221592,469.761907276736,476.200367654183,454.161844658114,422.282015874088,400.27151641225,340.41422898218,316.38230769534,323.627842643559,371.320959304985,387.367961615385,303.760966051664,296.174576273352,407.206572153301,433.074755234154,430.199953543689,430.0564738591,447.790989285501,487.345714209237,521.538905868244,539.615774988756,531.320595188714,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,110.607611451775,108.351588014366,118.819683832548,118.925895112966,129.122465531336,139.997765085618,141.909478916911,142.73608837229,149.708567656929,142.120157020628,130.198439233065,178.479156969192,186.997280167697,180.870373909619,149.807655122565,152.238344113548,134.803065664714,175.997969066178,162.835142449285,206.374550316697,230.979121072469,238.060281205589,204.862726361688,209.683593626806,203.980392151987,215.066361644641,224.041785557079,217.711112054272,163.800081081525,174.296766431254,281.403660289496,291.950531923183,303.011861874309,339.860748738479,370.934077294665,401.147289045779,395.97799385472,455.435857767719,553.456505772194,517.14704657905,518.598360839748,660.586769356136,580.643367387967,584.281845186903,615.940922199717,573.028618907732,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KEN,97.6215305786395,94.8352535524693,100.604254991743,104.012701298759,108.558932752822,104.992173344736,118.556282047262,121.380751499775,128.85766931067,134.193723980301,142.49741854293,152.553677274524,174.397946016905,199.695162507797,228.761022993967,241.679274139737,248.252989898807,309.377091058443,351.669291444553,398.073314152777,446.604211483809,405.562868885595,366.267691841134,327.783014508247,326.852564974567,312.04536368057,354.968357762035,377.043085522492,381.541593358746,365.406197357781,365.617821222712,336.364188352272,327.974824352508,222.724054761049,268.645575252903,330.48312180175,428.433876388009,454.741776777999,476.718513684413,425.593592101591,408.981868272125,407.554006551681,402.170315494016,444.233631050959,467.378752493262,530.082157850254,711.721163671636,857.925688654194,938.571762345224,942.74314646635,991.850545143199,1012.8797726673,1184.92325604363,1261.09286307733,1368.49113215797,1376.71282894881,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,40.6140721693278,41.2111542635693,47.4642115598459,52.3620839488921,56.7345636854124,58.8040113773803,59.5741529401846,61.0324651830375,62.0109934860995,65.2290703389933,66.5917085440357,72.5964504921363,75.2508710969761,110.362399122764,134.386067372773,130.155613451267,125.345693954665,159.911905096549,214.766470392991,227.702773952553,330.090550868118,323.85319408309,237.94570809696,252.658024013971,210.665491995129,168.734547922856,194.361992686788,242.95551894371,278.220545699956,287.555141899453,340.889869127033,373.961073126081,433.970334489045,426.115111608756,437.675056137985,489.837365679307,458.602924590468,477.222297768367,449.827448621564,435.706175556827,415.500118698001,377.453588710214,348.319866857999,510.416297902947,645.495959217188,710.520982100026,736.391194357222,816.849585698468,826.831540196137,859.828065883852,1087.98277034468,1241.20570623397,1158.80422205502,1064.82832238391,1034.18528751221,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBR,170.037685863071,160.644198250321,163.947030891241,167.333785730761,178.849908585452,182.974186092542,190.492276187092,198.47960526766,205.288375970004,221.904641420366,227.57859251913,234.300486926791,245.831986514897,251.460670798671,307.696147566259,354.617119882897,356.008355528826,390.306516276337,404.033573681839,444.611879104056,451.623990966585,431.499978336167,424.260960308399,390.683707840911,392.117837080923,387.403217013236,381.067096476589,442.946101546122,478.385349235588,367.94261910756,182.797186901564,168.436541049147,110.170594359266,79.9462107539616,65.4731599664809,64.8101538471894,72.5270395272366,125.100938996909,140.573905870993,161.137665473392,182.942757319583,173.737899205341,176.834198887345,133.153149808176,149.059093907857,168.206726678749,178.453139384142,209.811610870851,231.443222058919,302.276070797368,326.604438111264,378.814062448677,414.185155441744,453.339457045359,457.858586520261,455.873934536237,..
